institution_name,institution_median_norm,p90,n_works
Lebanese American University,0.8418351394183585,1.8110879316262898,418
University of Jinan,0.841414068583977,2.1035103509811433,196
North China University of Water Resources and Electric Power,0.8411764705376941,1.6053511704611807,170
National Chung Cheng University,0.840910986877223,2.048780487205235,52
Sunway University,0.8408783395751094,2.057482626553494,104
First Affiliated Hospital of Anhui Medical University,0.8399999999608001,0.9017341039836948,73
Yarmouk University,0.8398707890589833,1.6698602556614297,78
Indian Institute of Technology Kanpur,0.83982473219913,1.6312024928859765,69
Menoufia University,0.8392226148128176,1.6471843002891198,210
Manchester Metropolitan University,0.8390100846865616,2.425157081373454,91
Aalto University,0.8390100846865616,2.3790467028752844,285
Galgotias University,0.8390100846865616,2.3107213829065354,119
University of Luxembourg,0.8390100846865616,2.299392097160767,173
University of Malaya,0.8390100846865616,2.0489208632437577,297
Bangladesh University of Engineering and Technology,0.8390100846865616,2.043518607348131,96
"University of California, Riverside",0.8390100846865616,1.9741413757330861,141
Deutsches Elektronen-Synchrotron DESY,0.8390100846865616,1.9368349413986032,69
Barkatullah University,0.8390100846865616,1.889485399971263,138
Polytechnic University of Bari,0.8390100846865616,1.6381387407657952,110
Hindustan Institute of Technology and Science,0.8390100846865616,1.628666634979796,68
Institute of Crop Sciences,0.8390100846865616,1.209931113411234,100
University of Baghdad,0.8387096771848768,1.628666634979796,73
National Institute of Technology Jamshedpur,0.8384146341143898,2.042651592955673,51
University Medical Center Freiburg,0.8383233532582739,2.169816329139215,82
Xi'an Polytechnic University,0.8382352938834342,1.628666634979796,137
Linyi University,0.8382352938834342,1.3879518071486485,133
Chaitanya Bharathi Institute of Technology,0.8378464947564686,1.8755786160571293,54
University of Salerno,0.837748344340347,1.5022170875434857,286
University of Massachusetts Amherst,0.837677330986179,1.9414603014887277,142
Shanghai Ocean University,0.8375838925784748,2.5148745518243354,239
Ajman University,0.8370837083595353,1.8551599221141688,152
Shenyang Aerospace University,0.8367736531687624,1.3593354107383138,174
Friedrich Schiller University Jena,0.8367346938604748,1.7011007620069898,135
Hunan University,0.8366533864308504,2.0700739564648343,1534
Saveetha University,0.8365411411271046,1.7366104284174388,342
Central China Normal University,0.8360655737293738,1.8260807725531047,405
"""Dunarea de Jos"" University of Galati",0.8360655737293738,1.452173663133345,54
Makerere University,0.8358349261119811,1.9030695750336393,54
Lanzhou Jiaotong University,0.8358348967846319,1.525598812115794,159
Beijing Institute of Big Data Research,0.8353413654182352,2.154375169339857,142
Beijing Information Science & Technology University,0.8349900595840464,2.017204301014536,181
National Tsing Hua University,0.8342245989037147,2.2624309384952914,161
Swinburne University of Technology,0.8340721975676477,2.3689696508797033,275
Xi'an High Tech University,0.8338658146578561,2.5147058816503027,81
Higher Institute of Engineering,0.8336886993301221,1.5935347410086689,105
Deutschen Konsortium für Translationale Krebsforschung,0.8333884213618663,2.4468037393289648,74
University of Piraeus,0.8332322619538133,1.6268087271261955,59
Centre for Research and Technology Hellas,0.8326491514228429,1.5889052941602817,132
University of Essex,0.8326304655575313,1.3609460278578949,94
Fujian Institute of Research on the Structure of Matter,0.8323170731174432,2.102170872031577,134
Australian Regenerative Medicine Institute,0.8319649698595747,1.2093023252157924,59
Hamad bin Khalifa University,0.831889081432738,1.498748031519509,190
State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,0.8315151514904581,1.909679740854213,472
Universiti Sains Malaysia,0.8312628435165532,2.5005140859160933,374
Consejo Nacional de Investigaciones Científicas y Técnicas,0.8308051032094432,1.657894736279779,122
Indian Council of Agricultural Research,0.8304038004450781,1.383015634960521,52
Heriot-Watt University,0.8303774320540291,1.4649910232946055,78
Qingdao Agricultural University,0.8301886791878486,1.2612612609431053,120
Minzu University of China,0.8296639628985357,1.6188312083562144,265
University of Messina,0.8294356888133736,2.0986382869313314,102
Fondazione Bruno Kessler,0.8294356888133736,1.958121298014107,85
Chemnitz University of Technology,0.8289124668160175,1.0408163264790267,50
Minjiang University,0.8287566581896705,1.894964062316834,60
Hubei University of Automotive Technology,0.8285267819910609,2.543204126033541,86
Charles University,0.8284534894654586,3.67386977531511,97
Mississippi State University,0.8284534894654586,1.9933441761816293,158
Sejong University,0.8284534894654586,1.6402116396735813,467
"Arab Academy for Science, Technology, and Maritime Transport",0.8284534894654586,1.6014001003867853,77
La Trobe University,0.8284534894654586,1.4658119657681168,165
University of Saskatchewan,0.8281853281589477,1.5779413720444642,99
Khon Kaen University,0.8278897667927647,1.5508021385564357,104
University of Hertfordshire,0.8278467349979262,2.075286382713356,89
University Medical Center of the Johannes Gutenberg University Mainz,0.8273056655647749,1.8746117103807252,116
Western Sydney University,0.8269708784833272,1.7953449092061107,138
University of Aveiro,0.8269121068585809,1.9918163945376262,104
New York University,0.8268686374148893,4.294985250572759,706
"University of California, Berkeley",0.8265895953446657,2.153979072610192,801
University of Alabama,0.825842696580498,1.6779188382441397,115
Georgia Institute of Technology,0.825780285631432,1.8128779955097498,639
The Wallace H. Coulter Department of Biomedical Engineering,0.825780285631432,1.650661220023859,57
Beijing National Laboratory for Molecular Sciences,0.825780285631432,1.5698005697573372,182
Istanbul Medipol University,0.8250527951303404,1.4336098866872073,96
Prince Sultan University,0.8246589186324462,1.9677925550021909,424
United International University,0.8244672898707996,2.9236207294535306,80
Wellcome Centre for Human Neuroimaging,0.8243375858442296,2.2770603706615535,76
Silesian University of Technology,0.8242668206450601,2.123126533006984,178
West Virginia University,0.8239935273226942,3.109272666779611,228
Auckland University of Technology,0.8239920673830639,2.0869565210132324,94
Dankook University,0.823873610267567,1.3404220243600575,61
IRCCS Humanitas Research Hospital,0.8235294115951558,1.6292918626154018,68
Universidade Federal da Bahia,0.8230088493317409,1.4912162810378256,61
United States Food and Drug Administration,0.8220273679542234,1.628666634979796,118
Instituto Andaluz de Ciencias de la Tierra,0.821590399818161,4.765186343677245,73
King Mongkut's University of Technology Thonburi,0.821590399818161,1.3331470094630202,61
Sun Yat-sen University Cancer Center,0.8214285713992346,1.9330581420860702,127
Liaoning University,0.8203360619941552,1.5528596186744443,51
Tarim University,0.8202531645320431,1.2079772076124058,80
Graz University of Technology,0.8200944762795042,1.7695117900703394,106
Wrocław University of Science and Technology,0.8200801518246615,1.77133451246652,102
Prince of Songkla University,0.8200801518246615,1.6666666659722222,54
Princess Nourah bint Abdulrahman University,0.8200801518246615,1.665722379551048,609
University Health Network,0.8200339558281482,2.174936657181302,212
Chengdu University of Information Technology,0.8199999999439667,1.7747349822678762,177
Chongqing Normal University,0.8187134502445196,1.8356510745125456,144
Shaanxi Normal University,0.8181818181446281,2.1630901286903796,257
Guangdong Provincial People's Hospital,0.8177855274398858,2.8337907897954535,171
University of Udine,0.8177855274398858,2.0001668473579657,103
Wuhan University of Technology,0.8177855274398858,1.6439892242787826,1083
Civil Aviation Flight University of China,0.8177832032930372,1.6099999998872998,64
Waseda University,0.8177385113978453,1.7721518981060727,90
National Institute of Technology Durgapur,0.8176229507844875,1.1046046526206115,57
University of Glasgow,0.8174177202605653,1.6666666661111111,410
Dalian Ocean University,0.8171468277042877,1.903255813843719,60
İstanbul Nişantaşı Üniversitesi,0.8170606371822692,1.4381745482563506,89
University of Béjaïa,0.8170606371822692,1.31081692153826,59
Quzhou University,0.8170212765123043,2.085298196903853,91
St. Jude Children's Research Hospital,0.8170212765123043,2.0588235289878893,99
Princeton University,0.8170212765123043,1.6288626763428589,592
